"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41467.049809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561782";"-94.2313383";
"41467.051809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561782";"-94.2313383";
"41467.051809";"Altitude (GPS)";"878.608911950684";"feet";"39.3561782";"-94.2313383";
"41467.051809";"Average speed (GPS)";"0.0304855418083622";"mph";"39.3561782";"-94.2313383";
"41467.051809";"Average speed (GPS)";"0.030484945199665";"mph";"39.3561782";"-94.2313383";
"41467.051809";"Speed (GPS)";"0";"mph";"39.3561782";"-94.2313383";
"41467.051809";"Speed (GPS)";"0";"mph";"39.3561782";"-94.2313383";
"41467.281809";"Average speed";"0";"mph";"39.3561782";"-94.2313383";
"41467.281809";"Distance travelled";"0";"miles";"39.3561782";"-94.2313383";
"41467.281809";"Distance travelled (total)";"0";"miles";"39.3561782";"-94.2313383";
"41467.281809";"Vehicle acceleration";"0";"m/s²";"39.3561782";"-94.2313383";
"41467.281809";"Vehicle speed";"0";"mph";"39.3561782";"-94.2313383";
"41467.434809";"Altitude (GPS)";"831.147468310547";"feet";"39.35620845";"-94.23129748";
"41467.435809";"Altitude (GPS)";"831.147468310547";"feet";"39.35620845";"-94.23129748";
"41467.435809";"Average speed (GPS)";"0.0293537693126461";"mph";"39.35620845";"-94.23129748";
"41467.435809";"Speed (GPS)";"0";"mph";"39.35620845";"-94.23129748";
"41467.710809";"Average speed";"0";"mph";"39.35620845";"-94.23129748";
"41467.710809";"Distance travelled";"0";"miles";"39.35620845";"-94.23129748";
"41467.710809";"Distance travelled (total)";"0";"miles";"39.35620845";"-94.23129748";
"41467.710809";"Vehicle acceleration";"0";"m/s²";"39.35620845";"-94.23129748";
"41467.710809";"Vehicle speed";"0";"mph";"39.35620845";"-94.23129748";
"41467.977809";"Altitude (GPS)";"878.608911950684";"feet";"39.3562582";"-94.2313902";
"41467.979809";"Average speed (GPS)";"0.0278864512525797";"mph";"39.3562582";"-94.2313902";
"41467.979809";"Speed (GPS)";"0";"mph";"39.3562582";"-94.2313902";
"41467.980809";"Altitude (GPS)";"878.608911950684";"feet";"39.3562582";"-94.2313902";
"41467.980809";"Altitude (GPS)";"878.608911950684";"feet";"39.3562582";"-94.2313902";
